Name_in_Tree,Latitude,Longitude
Varanus.acanthurus,-19.553,134.22763
Varanus.acanthurus,-20.9017,134.2236
Varanus.acanthurus,-23.20856023,134.2212582
Varanus.acanthurus,-20.42855976,134.2212341
Varanus.acanthurus,-20.65,134.22
Varanus.acanthurus,-20.92388,134.21832
Varanus.acanthurus,-20.64855969,134.2179059
Varanus.acanthurus,-19.45,134.217
Varanus.acanthurus,-20.65,134.217
Varanus.acanthurus,-20.91667,134.21667
Varanus.acanthurus,-20.433333,134.216667
Varanus.acanthurus,-23.28856037,134.211259
Varanus.acanthurus,-16.43189527,134.2012061
Varanus.acanthurus,-19.067,134.2
Varanus.acanthurus,-19.65146389,134.1922611
Varanus.acanthurus,-22.34856,134.1845807
Varanus.acanthurus,-19.6485605,134.1845584
Varanus.acanthurus,-19.65,134.183
Varanus.acanthurus,-19.64856052,134.1812284
Varanus.acanthurus,-19.945987,134.180052
Varanus.acanthurus,-19.65,134.18
Varanus.acanthurus,-19.61454764,134.1725288
Varanus.acanthurus,-19.61464406,134.1725181
Varanus.acanthurus,-16.41523559,134.1512065
Varanus.acanthurus,-21.22554,134.12999
Varanus.acanthurus,-21.222,134.125
Varanus.acanthurus,-21.21667,134.11667
Varanus.acanthurus,-20.6,134.083
Varanus.acanthurus,-18.8,134.03
Varanus.acanthurus,-12.55457433,134.029583
Varanus.acanthurus,-18.666,133.981
Varanus.acanthurus,-21.53189192,133.9012463
Varanus.acanthurus,-21.5,133.9
Varanus.acanthurus,-21.53,133.9
Varanus.acanthurus,-21.533,133.9
Varanus.acanthurus,-21.53189204,133.8845765
Varanus.acanthurus,-12.517,133.883
Varanus.acanthurus,-21.517,133.883
Varanus.acanthurus,-21.533,133.883
Varanus.acanthurus,-23.666,133.883
Varanus.acanthurus,-23.767,133.883
Varanus.acanthurus,-24.767,133.883
Varanus.acanthurus,-18.5547,133.8817
Varanus.acanthurus,-21.52856207,133.8812465
Varanus.acanthurus,-21.52,133.88
Varanus.acanthurus,-21.53,133.88
Varanus.acanthurus,-23.69856353,133.8712663
Varanus.acanthurus,-23.7,133.87
Varanus.acanthurus,-23.7,133.8667
Varanus.acanthurus,-22.7,133.866
Varanus.acanthurus,-23.7,133.866
Varanus.acanthurus,-23.55,133.85
Varanus.acanthurus,-23.7,133.85
Varanus.acanthurus,-19.65,133.833
Varanus.acanthurus,-19.65,133.83
Varanus.acanthurus,-23.71523398,133.817937
Varanus.acanthurus,-23.71523687,133.817928
Varanus.acanthurus,-18.4,133.8
Varanus.acanthurus,-23.7,133.8
Varanus.acanthurus,-23.717,133.8
Varanus.acanthurus,-23.72,133.8
Varanus.acanthurus,-23.683175,133.794807
Varanus.acanthurus,-21.633,133.75
Varanus.acanthurus,-21.7,133.75
Varanus.acanthurus,-23.71666,133.75
Varanus.acanthurus,-23.81388652,133.7404621
Varanus.acanthurus,-19.01661389,133.732425
Varanus.acanthurus,-19.0099,133.7324
Varanus.acanthurus,-19.0166,133.7324
Varanus.acanthurus,-23.68011,133.71785
Varanus.acanthurus,-18.133,133.716
Varanus.acanthurus,-16.683,133.7
Varanus.acanthurus,-24.35056615,133.6582748
Varanus.acanthurus,-18.133,133.55
Varanus.acanthurus,-17.55,133.533
Varanus.acanthurus,-23.6985664,133.5212697
Varanus.acanthurus,-23.7,133.516667
Varanus.acanthurus,-23.68156654,133.5012698
Varanus.acanthurus,-17.48189765,133.4678897
Varanus.acanthurus,-23.7296,133.46206
Varanus.acanthurus,-17.07076,133.45531
Varanus.acanthurus,-24.234449,133.453344
Varanus.acanthurus,-17.46523778,133.4512198
Varanus.acanthurus,-17.06523843,133.4512172
Varanus.acanthurus,-17.06856842,133.4512172
Varanus.acanthurus,-24.35,133.45
Varanus.acanthurus,-22,133.433
Varanus.acanthurus,-16.367,133.417
Varanus.acanthurus,-21.466,133.416
Varanus.acanthurus,-16.733,133.4
Varanus.acanthurus,-22.433,133.4
Varanus.acanthurus,-16.26749,133.39166
Varanus.acanthurus,-24.0185679,133.3912741
Varanus.acanthurus,-16.317,133.383
Varanus.acanthurus,-15.733,133.366
Varanus.acanthurus,-22.6603,133.3583
Varanus.acanthurus,-23.78055,133.34821
Varanus.acanthurus,-22.65,133.3333
Varanus.acanthurus,-12.79437,133.29008
Varanus.acanthurus,-20.49856653,133.2679138
Varanus.acanthurus,-23.79856889,133.2346035
Varanus.acanthurus,-23.79857635,133.2345988
Varanus.acanthurus,-15.42857306,133.2212092
Varanus.acanthurus,-15.27857342,133.2212084
Varanus.acanthurus,-15.283333,133.216667
Varanus.acanthurus,-15.433333,133.216667
Varanus.acanthurus,-22.6371836,133.2057478
Varanus.acanthurus,-16.50410466,133.0823023
Varanus.acanthurus,-23.77746016,133.0768348
Varanus.acanthurus,-23.81524183,133.0679325
Varanus.acanthurus,-23.817,133.067
Varanus.acanthurus,-12.31858327,133.0511948
Varanus.acanthurus,-12.32,133.05
Varanus.acanthurus,-23.62583,133.03583
Varanus.acanthurus,-16.50246,133.01451
Varanus.acanthurus,-23.75051092,132.9793354
Varanus.acanthurus,-12.419,132.95833
Varanus.acanthurus,-23.66524145,132.9012754
Varanus.acanthurus,-23.66524028,132.9012686
Varanus.acanthurus,-16.533,132.9
Varanus.acanthurus,-23.667,132.9
Varanus.acanthurus,-21.04857782,132.8845801
Varanus.acanthurus,-21.05,132.883
Varanus.acanthurus,-24.0850441,132.8509917
Varanus.acanthurus,-23.62163224,132.7973859
Varanus.acanthurus,-16.42717,132.78651
Varanus.acanthurus,-13.312,132.78083
Varanus.acanthurus,-23.95,132.77
Varanus.acanthurus,-15.40317,132.7549
Varanus.acanthurus,-24.05248668,132.741048
Varanus.acanthurus,-24.04777631,132.7400366
Varanus.acanthurus,-24.04932852,132.7399236
Varanus.acanthurus,-23.68190284,132.7346071
Varanus.acanthurus,-23.64754,132.73254
Varanus.acanthurus,-23.61857286,132.7212766
Varanus.acanthurus,-23.62,132.72
Varanus.acanthurus,-23.63190291,132.7179468
Varanus.acanthurus,-15.45427,132.7131
Varanus.acanthurus,-24.04719492,132.6955291
Varanus.acanthurus,-19.28,132.67
Varanus.acanthurus,-19.283,132.667
Varanus.acanthurus,-23.964627,132.64539
Varanus.acanthurus,-15.34018,132.6074
Varanus.acanthurus,-23.56468448,132.514338
Varanus.acanthurus,-23.63634,132.50916
Varanus.acanthurus,-22.29857303,132.5012663
Varanus.acanthurus,-14.32783266,132.4256869
Varanus.acanthurus,-14.12867,132.39207
Varanus.acanthurus,-22.567,132.333
Varanus.acanthurus,-14.4685804,132.2712123
Varanus.acanthurus,-14.47,132.27
Varanus.acanthurus,-14.467,132.267
Varanus.acanthurus,-14.466667,132.266667
Varanus.acanthurus,-21.24857414,132.2512594
Varanus.acanthurus,-17.29577,132.23852
Varanus.acanthurus,-23.79857717,132.2346129
Varanus.acanthurus,-23.41524655,132.2346092
Varanus.acanthurus,-23.79858377,132.2346085
Varanus.acanthurus,-14.517,132.2
Varanus.acanthurus,-14.52,132.2
